=============== RESTART: C:/Users/蔡弘祥/Desktop/普物程式/HW3/HW3.py ==============
第 402 次的週期約為 6426 天;目前平均約為 6484 天
第 403 次的週期約為 6517 天;目前平均約為 6484 天
第 404 次的週期約為 6431 天;目前平均約為 6484 天
第 405 次的週期約為 6514 天;目前平均約為 6484 天
第 406 次的週期約為 6516 天;目前平均約為 6484 天
第 407 次的週期約為 6430 天;目前平均約為 6484 天
第 408 次的週期約為 6516 天;目前平均約為 6484 天
第 409 次的週期約為 6525 天;目前平均約為 6484 天
第 410 次的週期約為 6420 天;目前平均約為 6484 天
第 411 次的週期約為 6518 天;目前平均約為 6484 天
第 412 次的週期約為 6431 天;目前平均約為 6484 天
第 413 次的週期約為 6519 天;目前平均約為 6484 天
第 414 次的週期約為 6516 天;目前平均約為 6484 天
第 415 次的週期約為 6429 天;目前平均約為 6484 天
第 416 次的週期約為 6517 天;目前平均約為 6484 天
第 417 次的週期約為 6520 天;目前平均約為 6484 天
第 418 次的週期約為 6426 天;目前平均約為 6484 天
第 419 次的週期約為 6516 天;目前平均約為 6484 天
第 420 次的週期約為 6430 天;目前平均約為 6484 天
第 421 次的週期約為 6515 天;目前平均約為 6484 天
第 422 次的週期約為 6517 天;目前平均約為 6484 天
第 423 次的週期約為 6428 天;目前平均約為 6484 天
第 424 次的週期約為 6517 天;目前平均約為 6484 天
第 425 次的週期約為 6528 天;目前平均約為 6484 天
第 426 次的週期約為 6418 天;目前平均約為 6484 天
第 427 次的週期約為 6516 天;目前平均約為 6484 天
第 428 次的週期約為 6431 天;目前平均約為 6484 天
第 429 次的週期約為 6521 天;目前平均約為 6484 天
第 430 次的週期約為 6518 天;目前平均約為 6484 天
第 431 次的週期約為 6422 天;目前平均約為 6484 天
第 432 次的週期約為 6523 天;目前平均約為 6484 天
第 433 次的週期約為 6522 天;目前平均約為 6484 天
第 434 次的週期約為 6424 天;目前平均約為 6484 天
第 435 次的週期約為 6516 天;目前平均約為 6484 天
第 436 次的週期約為 6430 天;目前平均約為 6484 天
第 437 次的週期約為 6515 天;目前平均約為 6484 天
第 438 次的週期約為 6518 天;目前平均約為 6484 天
第 439 次的週期約為 6428 天;目前平均約為 6484 天
第 440 次的週期約為 6517 天;目前平均約為 6484 天
第 441 次的週期約為 6432 天;目前平均約為 6484 天
第 442 次的週期約為 6513 天;目前平均約為 6484 天
第 443 次的週期約為 6516 天;目前平均約為 6484 天
第 444 次的週期約為 6430 天;目前平均約為 6484 天
第 445 次的週期約為 6516 天;目前平均約為 6484 天
第 446 次的週期約為 6524 天;目前平均約為 6484 天
第 447 次的週期約為 6421 天;目前平均約為 6484 天
第 448 次的週期約為 6522 天;目前平均約為 6484 天
第 449 次的週期約為 6434 天;目前平均約為 6484 天
第 450 次的週期約為 6512 天;目前平均約為 6484 天
第 451 次的週期約為 6516 天;目前平均約為 6484 天
第 452 次的週期約為 6429 天;目前平均約為 6484 天
第 453 次的週期約為 6516 天;目前平均約為 6484 天
第 454 次的週期約為 6519 天;目前平均約為 6484 天
第 455 次的週期約為 6426 天;目前平均約為 6484 天
第 456 次的週期約為 6517 天;目前平均約為 6484 天
第 457 次的週期約為 6431 天;目前平均約為 6484 天
第 458 次的週期約為 6514 天;目前平均約為 6484 天
第 459 次的週期約為 6516 天;目前平均約為 6484 天
第 460 次的週期約為 6430 天;目前平均約為 6484 天
第 461 次的週期約為 6517 天;目前平均約為 6484 天
第 462 次的週期約為 6526 天;目前平均約為 6484 天
第 463 次的週期約為 6419 天;目前平均約為 6484 天
第 464 次的週期約為 6522 天;目前平均約為 6484 天
第 465 次的週期約為 6432 天;目前平均約為 6484 天
第 466 次的週期約為 6514 天;目前平均約為 6484 天
第 467 次的週期約為 6516 天;目前平均約為 6484 天
第 468 次的週期約為 6428 天;目前平均約為 6484 天
第 469 次的週期約為 6517 天;目前平均約為 6484 天
第 470 次的週期約為 6520 天;目前平均約為 6484 天
第 471 次的週期約為 6425 天;目前平均約為 6484 天
第 472 次的週期約為 6516 天;目前平均約為 6484 天
第 473 次的週期約為 6430 天;目前平均約為 6484 天
第 474 次的週期約為 6515 天;目前平均約為 6484 天
第 475 次的週期約為 6517 天;目前平均約為 6484 天
第 476 次的週期約為 6428 天;目前平均約為 6484 天
第 477 次的週期約為 6517 天;目前平均約為 6484 天
第 478 次的週期約為 6528 天;目前平均約為 6484 天
第 479 次的週期約為 6418 天;目前平均約為 6484 天
第 480 次的週期約為 6516 天;目前平均約為 6484 天
第 481 次的週期約為 6431 天;目前平均約為 6484 天
第 482 次的週期約為 6521 天;目前平均約為 6484 天
第 483 次的週期約為 6518 天;目前平均約為 6484 天
第 484 次的週期約為 6423 天;目前平均約為 6484 天
第 485 次的週期約為 6522 天;目前平均約為 6484 天
第 486 次的週期約為 6522 天;目前平均約為 6484 天
第 487 次的週期約為 6423 天;目前平均約為 6484 天
第 488 次的週期約為 6516 天;目前平均約為 6484 天
第 489 次的週期約為 6430 天;目前平均約為 6484 天
第 490 次的週期約為 6515 天;目前平均約為 6484 天
